schema_version,task_id,source_sweep_run_id,source_sweep_manifest_id,domain_size,codomain_size,admissible_count,admissible_status,total_order_source_orientation_witness_count,total_order_source_orientation_witness_ratio,total_order_source_orientation_witness_status,total_order_distinct_unique_function_count,total_order_distinct_unique_function_ratio,total_order_distinct_unique_function_status,cyclic_source_homomorphism_count,cyclic_source_homomorphism_ratio,cyclic_source_homomorphism_status,claim_ids,source_ids,assumption_ids,notes
1.0,TASK-001-PUBTABLES,EXP-TASK-001-SWEEP-20260625T192538Z-FBD5EA2B,ART-TASK-001-SWEEP-MANIFEST-20260625T192538Z-FBD5EA2B,1,1,1,R,2,2,R,1,1,C,1,1,R,CLM-FFF-ADM-001;CLM-FFF-ORD-001;CLM-FFF-CYC-001;CLM-FFF-CYC-002,SRC-FFF-2020,ASM-FFF-0001,finite grid row; per-column statuses preserve the R/C mixture; not a biological probability distribution
1.0,TASK-001-PUBTABLES,EXP-TASK-001-SWEEP-20260625T192538Z-FBD5EA2B,ART-TASK-001-SWEEP-MANIFEST-20260625T192538Z-FBD5EA2B,1,2,1,R,2,2,R,1,1,C,1,1,R,CLM-FFF-ADM-001;CLM-FFF-ORD-001;CLM-FFF-CYC-001;CLM-FFF-CYC-002,SRC-FFF-2020,ASM-FFF-0001,finite grid row; per-column statuses preserve the R/C mixture; not a biological probability distribution
1.0,TASK-001-PUBTABLES,EXP-TASK-001-SWEEP-20260625T192538Z-FBD5EA2B,ART-TASK-001-SWEEP-MANIFEST-20260625T192538Z-FBD5EA2B,1,3,1,R,2,2,R,1,1,C,1,1,R,CLM-FFF-ADM-001;CLM-FFF-ORD-001;CLM-FFF-CYC-001;CLM-FFF-CYC-002,SRC-FFF-2020,ASM-FFF-0001,finite grid row; per-column statuses preserve the R/C mixture; not a biological probability distribution
1.0,TASK-001-PUBTABLES,EXP-TASK-001-SWEEP-20260625T192538Z-FBD5EA2B,ART-TASK-001-SWEEP-MANIFEST-20260625T192538Z-FBD5EA2B,1,4,1,R,2,2,R,1,1,C,1,1,R,CLM-FFF-ADM-001;CLM-FFF-ORD-001;CLM-FFF-CYC-001;CLM-FFF-CYC-002,SRC-FFF-2020,ASM-FFF-0001,finite grid row; per-column statuses preserve the R/C mixture; not a biological probability distribution
1.0,TASK-001-PUBTABLES,EXP-TASK-001-SWEEP-20260625T192538Z-FBD5EA2B,ART-TASK-001-SWEEP-MANIFEST-20260625T192538Z-FBD5EA2B,2,1,1,R,2,2,R,1,1,C,1,1,R,CLM-FFF-ADM-001;CLM-FFF-ORD-001;CLM-FFF-CYC-001;CLM-FFF-CYC-002,SRC-FFF-2020,ASM-FFF-0001,finite grid row; per-column statuses preserve the R/C mixture; not a biological probability distribution
1.0,TASK-001-PUBTABLES,EXP-TASK-001-SWEEP-20260625T192538Z-FBD5EA2B,ART-TASK-001-SWEEP-MANIFEST-20260625T192538Z-FBD5EA2B,2,2,3,R,4,4/3,R,3,1,C,2,2/3,R,CLM-FFF-ADM-001;CLM-FFF-ORD-001;CLM-FFF-CYC-001;CLM-FFF-CYC-002,SRC-FFF-2020,ASM-FFF-0001,finite grid row; per-column statuses preserve the R/C mixture; not a biological probability distribution
1.0,TASK-001-PUBTABLES,EXP-TASK-001-SWEEP-20260625T192538Z-FBD5EA2B,ART-TASK-001-SWEEP-MANIFEST-20260625T192538Z-FBD5EA2B,2,3,5,R,6,6/5,R,5,1,C,1,1/5,R,CLM-FFF-ADM-001;CLM-FFF-ORD-001;CLM-FFF-CYC-001;CLM-FFF-CYC-002,SRC-FFF-2020,ASM-FFF-0001,finite grid row; per-column statuses preserve the R/C mixture; not a biological probability distribution
1.0,TASK-001-PUBTABLES,EXP-TASK-001-SWEEP-20260625T192538Z-FBD5EA2B,ART-TASK-001-SWEEP-MANIFEST-20260625T192538Z-FBD5EA2B,2,4,7,R,8,8/7,R,7,1,C,2,2/7,R,CLM-FFF-ADM-001;CLM-FFF-ORD-001;CLM-FFF-CYC-001;CLM-FFF-CYC-002,SRC-FFF-2020,ASM-FFF-0001,finite grid row; per-column statuses preserve the R/C mixture; not a biological probability distribution
1.0,TASK-001-PUBTABLES,EXP-TASK-001-SWEEP-20260625T192538Z-FBD5EA2B,ART-TASK-001-SWEEP-MANIFEST-20260625T192538Z-FBD5EA2B,3,1,1,R,2,2,R,1,1,C,1,1,R,CLM-FFF-ADM-001;CLM-FFF-ORD-001;CLM-FFF-CYC-001;CLM-FFF-CYC-002,SRC-FFF-2020,ASM-FFF-0001,finite grid row; per-column statuses preserve the R/C mixture; not a biological probability distribution
1.0,TASK-001-PUBTABLES,EXP-TASK-001-SWEEP-20260625T192538Z-FBD5EA2B,ART-TASK-001-SWEEP-MANIFEST-20260625T192538Z-FBD5EA2B,3,2,7,R,6,6/7,R,5,5/7,C,1,1/7,R,CLM-FFF-ADM-001;CLM-FFF-ORD-001;CLM-FFF-CYC-001;CLM-FFF-CYC-002,SRC-FFF-2020,ASM-FFF-0001,finite grid row; per-column statuses preserve the R/C mixture; not a biological probability distribution
