schema_version,task_id,row_epistemic_status,claim_id,source_id,assumption_ids,structure,metric,count_object,domain_size,codomain_size,numerator,denominator,value_label,notes
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,1,1,1,1,1,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,1,1,2,1,2,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,1,1,2,1,2,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,1,1,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,1,1,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,1,1,1,1,1,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,1,1,1,1,1,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,1,2,1,1,1,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,1,2,2,1,2,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,1,2,2,1,2,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,1,2,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,1,2,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,1,2,1,1,1,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,1,2,1,1,1,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,1,3,1,1,1,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,1,3,2,1,2,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,1,3,2,1,2,source orientation-witness count divided by admissible payoff functions
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,count,distinct_unique_functions,1,3,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,C,CLM-FFF-ORD-001,SRC-FFF-2020,ASM-FFF-0001,total_order,ratio,distinct_unique_functions_over_admissible,1,3,1,1,1,RDR-0002 presentation companion; not the source formula
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-001,SRC-FFF-2020,,cyclic_group,count,source_cyclic_homomorphisms,1,3,1,1,1,"source formula gcd(n, m)"
1.0,TASK-001-SWEEP,R,CLM-FFF-CYC-002,SRC-FFF-2020,,cyclic_group,ratio,source_cyclic_homomorphisms_over_admissible,1,3,1,1,1,source cyclic count divided by admissible payoff functions
1.0,TASK-001-SWEEP,R,CLM-FFF-ADM-001,SRC-FFF-2020,,admissibility,count,admissible_payoff_functions,1,4,1,1,1,source admissible payoff-function count
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,count,source_orientation_witnesses,1,4,2,1,2,"source formula 2 * binom(n + m - 2, m - 1)"
1.0,TASK-001-SWEEP,R,CLM-FFF-ORD-001,SRC-FFF-2020,,total_order,ratio,source_orientation_witnesses_over_admissible,1,4,2,1,2,source orientation-witness count divided by admissible payoff functions
